noise_level,seed,strategy,grade,precision,recall,f1,support
0.25,123,ordinal_harm_blend_50,4,0.3893805309734513,0.44,0.4131455399061033,100
0.25,123,ordinal_harm_blend_50,5,0.5576923076923077,0.5858585858585859,0.5714285714285714,99
0.25,123,ordinal_harm_blend_50,high_grade_4_5,0.6497695852534562,0.7085427135678392,0.6778846153846154,199
0.25,2025,adaptive_ordinal_harm,0,0.5286624203821656,0.8217821782178217,0.6434108527131783,101
0.25,2025,adaptive_ordinal_harm,1,0.37894736842105264,0.36363636363636365,0.3711340206185567,99
0.25,2025,adaptive_ordinal_harm,2,0.40789473684210525,0.3069306930693069,0.3502824858757062,101
0.25,2025,adaptive_ordinal_harm,3,0.4305555555555556,0.3069306930693069,0.3583815028901734,101
0.25,2025,adaptive_ordinal_harm,4,0.3076923076923077,0.2828282828282828,0.29473684210526313,99
0.25,2025,adaptive_ordinal_harm,5,0.4818181818181818,0.53,0.5047619047619047,100
0.25,2025,adaptive_ordinal_harm,high_grade_4_5,0.6169154228855721,0.6231155778894473,0.62,199
0.25,2025,cross_site_blend_50,0,0.5882352941176471,0.7920792079207921,0.6751054852320675,101
0.25,2025,cross_site_blend_50,1,0.37362637362637363,0.3434343434343434,0.35789473684210527,99
0.25,2025,cross_site_blend_50,2,0.42391304347826086,0.38613861386138615,0.40414507772020725,101
0.25,2025,cross_site_blend_50,3,0.42528735632183906,0.36633663366336633,0.39361702127659576,101
0.25,2025,cross_site_blend_50,4,0.3253012048192771,0.2727272727272727,0.2967032967032967,99
0.25,2025,cross_site_blend_50,5,0.4642857142857143,0.52,0.49056603773584906,100
0.25,2025,cross_site_blend_50,high_grade_4_5,0.6358974358974359,0.6231155778894473,0.6294416243654822,199
0.25,2025,fedavg,0,0.532051282051282,0.8217821782178217,0.6459143968871596,101
0.25,2025,fedavg,1,0.3717948717948718,0.29292929292929293,0.327683615819209,99
0.25,2025,fedavg,2,0.39080459770114945,0.33663366336633666,0.3617021276595745,101
0.25,2025,fedavg,3,0.41935483870967744,0.38613861386138615,0.4020618556701031,101
0.25,2025,fedavg,4,0.32978723404255317,0.31313131313131315,0.32124352331606215,99
0.25,2025,fedavg,5,0.5053763440860215,0.47,0.48704663212435234,100
0.25,2025,fedavg,high_grade_4_5,0.6363636363636364,0.5979899497487438,0.616580310880829,199
0.25,2025,ordinal_harm_blend_50,0,0.5394736842105263,0.8118811881188119,0.6482213438735178,101
0.25,2025,ordinal_harm_blend_50,1,0.375,0.36363636363636365,0.36923076923076925,99
0.25,2025,ordinal_harm_blend_50,2,0.44594594594594594,0.32673267326732675,0.37714285714285717,101
0.25,2025,ordinal_harm_blend_50,3,0.4307692307692308,0.27722772277227725,0.3373493975903614,101
0.25,2025,ordinal_harm_blend_50,4,0.32038834951456313,0.3333333333333333,0.32673267326732675,99
0.25,2025,ordinal_harm_blend_50,5,0.4774774774774775,0.53,0.5023696682464455,100
0.25,2025,ordinal_harm_blend_50,high_grade_4_5,0.6121495327102804,0.6582914572864321,0.6343825665859564,199
0.35,7,adaptive_ordinal_harm,0,0.6347826086956522,0.7227722772277227,0.6759259259259259,101
0.35,7,adaptive_ordinal_harm,1,0.42391304347826086,0.38613861386138615,0.40414507772020725,101
0.35,7,adaptive_ordinal_harm,2,0.43333333333333335,0.3939393939393939,0.4126984126984127,99
0.35,7,adaptive_ordinal_harm,3,0.45121951219512196,0.36633663366336633,0.40437158469945356,101
0.35,7,adaptive_ordinal_harm,4,0.49473684210526314,0.47,0.48205128205128206,100
0.35,7,adaptive_ordinal_harm,5,0.5433070866141733,0.696969696969697,0.6106194690265486,99
0.35,7,adaptive_ordinal_harm,high_grade_4_5,0.7027027027027027,0.7839195979899497,0.7410926365795725,199
0.35,7,cross_site_blend_50,0,0.616,0.7623762376237624,0.6814159292035398,101
0.35,7,cross_site_blend_50,1,0.43478260869565216,0.49504950495049505,0.46296296296296297,101
0.35,7,cross_site_blend_50,2,0.47761194029850745,0.32323232323232326,0.3855421686746988,99
0.35,7,cross_site_blend_50,3,0.5,0.40594059405940597,0.44808743169398907,101
0.35,7,cross_site_blend_50,4,0.5285714285714286,0.37,0.43529411764705883,100
0.35,7,cross_site_blend_50,5,0.5140845070422535,0.7373737373737373,0.6058091286307054,99
0.35,7,cross_site_blend_50,high_grade_4_5,0.7216981132075472,0.7688442211055276,0.7445255474452555,199
0.35,7,fedavg,0,0.576,0.7128712871287128,0.6371681415929203,101
0.35,7,fedavg,1,0.39669421487603307,0.4752475247524752,0.43243243243243246,101
0.35,7,fedavg,2,0.46938775510204084,0.23232323232323232,0.3108108108108108,99
0.35,7,fedavg,3,0.41237113402061853,0.39603960396039606,0.40404040404040403,101
